Date : 2026-08-11 15:57:45
Directory : d:\Vscode\.vscode
Total : 832 files,  43539 codes, 32537 comments, 4453 blanks, all 80529 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| C++                |        828 |     43,389 |     32,534 |      4,453 |     80,376 |
| JSON with Comments |          3 |        115 |          3 |          0 |        118 |
| JSON               |          1 |         35 |          0 |          0 |         35 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                       | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| qoj\2023shandong                                                           |          8 |        498 |         45 |         14 |        557 |
| qoj\2025shandong                                                           |          5 |        198 |          1 |          5 |        204 |
| qoj\2025wuhan                                                              |          8 |        473 |         68 |         19 |        560 |
| qoj\2026shandong                                                           |          2 |        187 |          8 |          2 |        197 |
| qoj\2026xi'an                                                              |          8 |        657 |         24 |         21 |        702 |
| sdcpc                                                                      |          1 |         86 |         10 |          1 |         97 |
| sdcpc\2023                                                                 |          1 |         86 |         10 |          1 |         97 |
| shujujiegou                                                                |          1 |         58 |          0 |          0 |         58 |
| shujujiegou\keduoli                                                        |          1 |         58 |          0 |          0 |         58 |
| tianti                                                                     |          5 |        308 |         13 |          9 |        330 |
| tianti\2024                                                                |          3 |        173 |         12 |          3 |        188 |
| tianti\2025                                                                |          1 |        100 |          0 |          0 |        100 |
| tianti\2026moni                                                            |          1 |         35 |          1 |          6 |         42 |
| vj                                                                         |         54 |      3,708 |        132 |        111 |      3,951 |
| vj\dp                                                                      |          5 |        182 |          8 |          3 |        193 |
| vj\jisuanjihe                                                              |          9 |        615 |         19 |         16 |        650 |
| vj\jisuanjihe\jichu                                                        |          9 |        615 |         19 |         16 |        650 |
| vj\math1                                                                   |         10 |        263 |         13 |         14 |        290 |
| vj\math1 (Files)                                                           |          6 |        184 |          2 |          7 |        193 |
| vj\math1\4duipai                                                           |          4 |         79 |         11 |          7 |         97 |
| vj\shulun                                                                  |          5 |        289 |         14 |          0 |        303 |
| vj\shulun\1300                                                             |          4 |        224 |         12 |          0 |        236 |
| vj\shulun\1700                                                             |          1 |         65 |          2 |          0 |         67 |
| vj\shushang                                                                |         10 |      1,108 |         52 |         38 |      1,198 |
| vj\shushang\DFSxujiqiao                                                    |          4 |        539 |          4 |         21 |        564 |
| vj\shushang\zhijing                                                        |          6 |        569 |         48 |         17 |        634 |
| vj\sousuo                                                                  |         15 |      1,251 |         26 |         40 |      1,317 |
| vj\sousuo\sousuo2                                                          |          2 |        186 |         11 |          5 |        202 |
| vj\sousuo\suosou1                                                          |         13 |      1,065 |         15 |         35 |      1,115 |
| yaoqingsai                                                                 |          2 |         69 |          3 |          2 |         74 |
| yaoqingsai\24xian                                                          |          2 |         69 |          3 |          2 |         74 |
| zatest                                                                     |          1 |         17 |          0 |          1 |         18 |
+----------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                   | language           | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| d:\Vscode\.vscode\DP\Insertion DP.cpp                                      | C++                |         42 |          1 |          3 |         46 |
| d:\Vscode\.vscode\DP\beibao\fenzubeibao\P1757.cpp                          | C++                |         37 |          1 |          0 |         38 |
| d:\Vscode\.vscode\DP\shuwei_DP\62.cpp                                      | C++                |         60 |          3 |          0 |         63 |
| d:\Vscode\.vscode\DP\shuwei_DP\P2602 [ZJOI2010] .cpp                       | C++                |         46 |          1 |          3 |         50 |
| d:\Vscode\.vscode\USTCPC\a.cpp                                             | C++                |         13 |          0 |          2 |         15 |
| d:\Vscode\.vscode\USTCPC\c.cpp                                             | C++                |         49 |          1 |          2 |         52 |
| d:\Vscode\.vscode\USTCPC\c_1.cpp                                           | C++                |         82 |          1 |          2 |         85 |
| d:\Vscode\.vscode\USTCPC\f.cpp                                             | C++                |         58 |          1 |          1 |         60 |
| d:\Vscode\.vscode\abc\367\f.cpp                                            | C++                |         51 |          1 |          3 |         55 |
| d:\Vscode\.vscode\abc\405\b.cpp                                            | C++                |         28 |          0 |          0 |         28 |
| d:\Vscode\.vscode\abc\405\c.cpp                                            | C++                |         66 |         90 |         15 |        171 |
| d:\Vscode\.vscode\abc\405\d.cpp                                            | C++                |         10 |          0 |          1 |         11 |
| d:\Vscode\.vscode\abc\405\e.cpp                                            | C++                |         50 |          0 |          1 |         51 |
| d:\Vscode\.vscode\abc\405\f.cpp                                            | C++                |          0 |         69 |          4 |         73 |
| d:\Vscode\.vscode\abc\406\a.cpp                                            | C++                |         28 |          0 |          0 |         28 |
| d:\Vscode\.vscode\abc\406\b.cpp                                            | C++                |         33 |          2 |          1 |         36 |
| d:\Vscode\.vscode\abc\406\c.cpp                                            | C++                |         68 |          7 |          7 |         82 |
| d:\Vscode\.vscode\abc\406\d.cpp                                            | C++                |         78 |          3 |          6 |         87 |
| d:\Vscode\.vscode\abc\406\e.cpp                                            | C++                |          0 |          0 |          1 |          1 |
| d:\Vscode\.vscode\abc\406\f.cpp                                            | C++                |         99 |          8 |          5 |        112 |
| d:\Vscode\.vscode\abc\407\a.cpp                                            | C++                |         21 |          0 |          0 |         21 |
| d:\Vscode\.vscode\abc\407\b.cpp                                            | C++                |         41 |          0 |          0 |         41 |
| d:\Vscode\.vscode\abc\407\c.cpp                                            | C++                |         21 |          1 |          1 |         23 |
| d:\Vscode\.vscode\abc\407\d.cpp                                            | C++                |         47 |          0 |          2 |         49 |
| d:\Vscode\.vscode\abc\407\e.cpp                                            | C++                |         27 |          0 |          1 |         28 |
| d:\Vscode\.vscode\abc\407\f.cpp                                            | C++                |         22 |          0 |          2 |         24 |
| d:\Vscode\.vscode\abc\408\a.cpp                                            | C++                |         24 |          0 |          1 |         25 |
| d:\Vscode\.vscode\abc\408\b.cpp                                            | C++                |         24 |          0 |          2 |         26 |
| d:\Vscode\.vscode\abc\408\c.cpp                                            | C++                |         27 |          0 |          1 |         28 |
| d:\Vscode\.vscode\abc\408\d.cpp                                            | C++                |         49 |          0 |          5 |         54 |
| d:\Vscode\.vscode\abc\408\e.cpp                                            | C++                |         48 |          0 |          1 |         49 |
| d:\Vscode\.vscode\abc\409\a.cpp                                            | C++                |         20 |          0 |          1 |         21 |
| d:\Vscode\.vscode\abc\409\b.cpp                                            | C++                |         28 |          0 |          2 |         30 |
| d:\Vscode\.vscode\abc\409\c.cpp                                            | C++                |         33 |          0 |          0 |         33 |
| d:\Vscode\.vscode\abc\409\d.cpp                                            | C++                |         32 |          0 |          0 |         32 |
| d:\Vscode\.vscode\abc\409\e.cpp                                            | C++                |         47 |          0 |          0 |         47 |
| d:\Vscode\.vscode\abc\421\d.cpp                                            | C++                |         28 |          1 |          3 |         32 |
| d:\Vscode\.vscode\abc\421\e.cpp                                            | C++                |         63 |          1 |          0 |         64 |
| d:\Vscode\.vscode\abc\430\a.cpp                                            | C++                |         21 |          1 |          1 |         23 |
| d:\Vscode\.vscode\abc\430\b.cpp                                            | C++                |         55 |          1 |          2 |         58 |
| d:\Vscode\.vscode\abc\430\c.cpp                                            | C++                |         54 |          1 |          2 |         57 |
| d:\Vscode\.vscode\abc\430\d.cpp                                            | C++                |          0 |         75 |          7 |         82 |
