"filename", "language", "C++", "JSON with Comments", "JSON", "comment", "blank", "total"
"d:\Vscode\.vscode\abc\452\b\duipai.cpp", "C++", 14, 0, 0, 0, 2, 16
"d:\Vscode\.vscode\abc\452\b\gen.cpp", "C++", 22, 0, 0, 2, 0, 24
"d:\Vscode\.vscode\abc\452\c.cpp", "C++", 51, 0, 0, 2, 4, 57
"d:\Vscode\.vscode\abc\452\d.cpp", "C++", 40, 0, 0, 15, 6, 61
"d:\Vscode\.vscode\abc\452\e.cpp", "C++", 41, 0, 0, 2, 0, 43
"d:\Vscode\.vscode\abc\453\a.cpp", "C++", 27, 0, 0, 1, 5, 33
"d:\Vscode\.vscode\abc\453\b.cpp", "C++", 27, 0, 0, 1, 5, 33
"d:\Vscode\.vscode\abc\453\c.cpp", "C++", 38, 0, 0, 2, 1, 41
"d:\Vscode\.vscode\abc\453\d.cpp", "C++", 100, 0, 0, 5, 3, 108
"d:\Vscode\.vscode\abc\453\e.cpp", "C++", 73, 0, 0, 2, 3, 78
"d:\Vscode\.vscode\abc\454\a.cpp", "C++", 16, 0, 0, 0, 0, 16
"d:\Vscode\.vscode\abc\454\b.cpp", "C++", 37, 0, 0, 0, 1, 38
"d:\Vscode\.vscode\abc\454\c.cpp", "C++", 38, 0, 0, 0, 0, 38
"d:\Vscode\.vscode\abc\454\d.cpp", "C++", 57, 0, 0, 2, 1, 60
"d:\Vscode\.vscode\abc\454\e.cpp", "C++", 73, 0, 0, 3, 0, 76
"d:\Vscode\.vscode\abc\454\f.cpp", "C++", 13, 0, 0, 1, 1, 15
"d:\Vscode\.vscode\abc\455\a.cpp", "C++", 19, 0, 0, 2, 0, 21
"d:\Vscode\.vscode\abc\455\b.cpp", "C++", 39, 0, 0, 1, 3, 43
"d:\Vscode\.vscode\abc\455\c.cpp", "C++", 35, 0, 0, 1, 2, 38
"d:\Vscode\.vscode\abc\455\d.cpp", "C++", 52, 0, 0, 5, 2, 59
"d:\Vscode\.vscode\abc\455\e.cpp", "C++", 59, 0, 0, 5, 0, 64
"d:\Vscode\.vscode\abc\455\f.cpp", "C++", 237, 0, 0, 3, 6, 246
"d:\Vscode\.vscode\abc\456\a.cpp", "C++", 21, 0, 0, 1, 0, 22
"d:\Vscode\.vscode\abc\456\b.cpp", "C++", 31, 0, 0, 2, 1, 34
"d:\Vscode\.vscode\abc\456\c.cpp", "C++", 48, 0, 0, 5, 0, 53
"d:\Vscode\.vscode\abc\456\c2.cpp", "C++", 34, 0, 0, 2, 0, 36
