Date : 2026-08-11 15:57:45
Directory : d:\Vscode\.vscode
Total : 274 files,  15406 codes, 850 comments, 700 blanks, all 16956 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |        274 |     15,406 |        850 |        700 |     16,956 |
+----------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                   | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| d:\Vscode\.vscode\abc\458\c.cpp                                        | C++      |         25 |          2 |          3 |         30 |
| d:\Vscode\.vscode\abc\458\d.cpp                                        | C++      |         45 |          2 |          3 |         50 |
| d:\Vscode\.vscode\abc\458\e.cpp                                        | C++      |         51 |          2 |          3 |         56 |
| d:\Vscode\.vscode\abc\467\d.cpp                                        | C++      |         64 |          3 |          0 |         67 |
| d:\Vscode\.vscode\abc\abc.cpp                                          | C++      |          0 |     -1,936 |       -220 |     -2,156 |
| d:\Vscode\.vscode\abc\za\12.cpp                                        | C++      |         21 |          0 |          1 |         22 |
| d:\Vscode\.vscode\abc\za\13.cpp                                        | C++      |        147 |         10 |         14 |        171 |
| d:\Vscode\.vscode\abc\za\abc.cpp                                       | C++      |          0 |      1,936 |        220 |      2,156 |
| d:\Vscode\.vscode\banzi\DP\最长上升子序列.cpp                                 | C++      |         45 |          7 |          0 |         52 |
| d:\Vscode\.vscode\banzi\fangfa\erweilixianshudian.cpp                  | C++      |         68 |          4 |          0 |         72 |
| d:\Vscode\.vscode\banzi\jichu\chafen\erwei.cpp                         | C++      |         42 |          1 |         12 |         55 |
| d:\Vscode\.vscode\banzi\jichu\sanfen\qinjiushao.cpp                    | C++      |          0 |          8 |          0 |          8 |
| d:\Vscode\.vscode\banzi\jichu\sanfen\sanfen.cpp                        | C++      |         41 |          2 |          2 |         45 |
| d:\Vscode\.vscode\banzi\jisuanjihe\jichu\erwei.cpp                     | C++      |         53 |          0 |          0 |         53 |
| d:\Vscode\.vscode\banzi\jisuanjihe\jichu\jijiaoxu.cpp                  | C++      |         34 |          0 |          0 |         34 |
| d:\Vscode\.vscode\banzi\jisuanjihe\jichu\sanwei.cpp                    | C++      |         23 |          0 |          1 |         24 |
| d:\Vscode\.vscode\banzi\jisuanjihe\jichu\xianduanjiao.cpp              | C++      |         29 |          1 |          0 |         30 |
| d:\Vscode\.vscode\banzi\jisuanjihe\xuanzhanqiake\xuanzhuanqiake.cpp    | C++      |          0 |         18 |          5 |         23 |
| d:\Vscode\.vscode\banzi\jisuanjihe\zuixiaoyuanfugai\suijizengliang.cpp | C++      |        122 |          0 |          2 |        124 |
| d:\Vscode\.vscode\banzi\shujujiegou\shuzhuangshuzu.cpp                 | C++      |         30 |          2 |          1 |         33 |
| d:\Vscode\.vscode\banzi\shujujiegou\st.cpp                             | C++      |         27 |          1 |          1 |         29 |
| d:\Vscode\.vscode\banzi\shulun\qumolei.cpp                             | C++      |         47 |          0 |          5 |         52 |
| d:\Vscode\.vscode\banzi\shulun\xianxingshai.cpp                        | C++      |          4 |          0 |          0 |          4 |
| d:\Vscode\.vscode\banzi\shulun\zuheshu.cpp                             | C++      |          3 |          0 |          0 |          3 |
| d:\Vscode\.vscode\banzi\shushang\lca\beizeng.cpp                       | C++      |         75 |          1 |          5 |         81 |
| d:\Vscode\.vscode\banzi\tulun\qiangliantongfenliang\suodian.cpp        | C++      |        115 |          4 |          7 |        126 |
